Data,Label,,,,,,,,,,,,,,,,,,,,,,,,
নারীর অগ্রযাত্রা অব্যাহত রয়েছে প্রতিটি ক্ষেত্রেই। এর মধ্যে অন্যতম এবং প্রধান শিক্ষা।,1,,,,,,,,,,,,,,,,,,,,,,,,
" কন্যাসন্তানকে অপয়া হিসেবে নয়, আশীর্বাদস্বরূপ গ্রহণ করতে হবে। ",1,,,,,,,,,,,,,,,,,,,,,,,,
নারীর লজ্জা পুরুষের লজ্জার চেয়ে চারগুণ বেশি,2,,,,,,,,,,,,,,,,,,,,,,,,
বিয়া করলে জীবন ছ্যারাব্যারা হই যাবে বইন,2,,,,,,,,,,,,,,,,,,,,,,,,
একবিংশ শতাব্দীর এই সময়কালে পিরিয়ড ট্যাবু নয় বরং সময় এসেছে কুসংস্কারের বাঁধ ভেঙে নারীর চলার পথকে নিরাপদ ও সুন্দর করে দেয়া ।,1,,,,,,,,,,,,,,,,,,,,,,,,
রাষ্ট্রপক্ষসমূহ দেশের রাজনৈতিক ও জনজীবনে নারীর প্রতি বৈষম্য দূরীকরণে সকল উপযুক্ত ব্যবস্থা গ্রহণ করবে,1,,,,,,,,,,,,,,,,,,,,,,,,
ভালোবাসার নামেই বেশি লুটপাট হয়। কারণ এসব মেয়েরা জানে তাদের দাম ২ টাকাও নাই। প্রেম করে ইমোশনাল করে টাকা বাড়ায়। যদি টাকা দিতে অস্বীকার করে সম্পর্কও শেষ করে দেয়। আমি নিজেও ভোক্তভোগী।,2,,,,,,,,,,,,,,,,,,,,,,,,
অসাধারণ রিফ্লেক্স এর জন্য বিখ্যাত এই গোলকিপার সেরা গোলকিপারের পুরষ্কার পেয়েছেন চারবার।,0,,,,,,,,,,,,,,,,,,,,,,,,
লাখ লাখ নারী শ্রমিক দিন-রাত পরিশ্রম করে রপ্তানি আয়ের চাকা সচল রাখে,1,,,,,,,,,,,,,,,,,,,,,,,,
অনলাইন মাধ্যমে নারী উদ্যোক্তাদের উপস্থিতিই সবচেয়ে বেশি।,1,,,,,,,,,,,,,,,,,,,,,,,,
"মেক্সিকো থেকে ফেরার পর একটি আর্টিকেলে তার আরেক সাংবাদিক বন্ধু লিখেছিলেন, তার খেলায় মুগ্ধ হয়ে তাকে মেক্সিকোর নাগরিকত্ব গ্রহণের জন্য অনুরোধ করা হয়েছিল।",0,,,,,,,,,,,,,,,,,,,,,,,,
কিছু মেয়ে আছে আসলেই বেয়াদব টাইপের। জানিনা আপনার ব্যপারটা কেমন!,2,,,,,,,,,,,,,,,,,,,,,,,,
এক মেয়ের চাকরি মানেই একটা ছেলের বিয়ের রাস্তা বন্ধ,2,,,,,,,,,,,,,,,,,,,,,,,,
অনেকে বলে বেবি হলে সব ঠিক হয়ে যাবে,0,,,,,,,,,,,,,,,,,,,,,,,,
আপনার লেখাগুলোয় সব সময় দেখা যায় বিরাট কোন ব্যাপারকে খুবই ছোট কোন বিষয়ের ভিত্তিতে স্থুলভাবে বিচার করার প্রবনতা,0,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়ে হয়ে জন্মাইছো, রান্না তো করতেই হবে।",2,,,,,,,,,,,,,,,,,,,,,,,,
"নর্থাপ ঠিক করেন, বিশ্বাসের ভিত্তিটি স্যামুয়েলের উপর স্থাপন করবেন তিনি।",0,,,,,,,,,,,,,,,,,,,,,,,,
যেমন সবজির মধ্যে চিনি দেয়া বা কোন খাবার বা পানীয়ের রং বদলে ফেলা।,0,,,,,,,,,,,,,,,,,,,,,,,,
"বাংলাদেশে বৈদেশিক মুদ্রা অর্জনের যতগুলো খাত, সবগুলোতে নারীর অবদান রয়েছে",1,,,,,,,,,,,,,,,,,,,,,,,,
এখানে বখাটে মেয়ে দের মত যারা আড্ডা মারে তারা ভাল পরিবারের মেয়ে হয়তবা নয়।,2,,,,,,,,,,,,,,,,,,,,,,,,
বর্তমান সময় নারী নির্যাতন ও ধর্ষন মামলার কারণে নিরাপরাধ পুরুষরাই অনেক বেশি নির্যাতিত নিপিড়ীত।,2,,,,,,,,,,,,,,,,,,,,,,,,
"চুন তৈরি, ঠোঙা তৈরি, বাঁশ ও বেত শিল্প, তাঁত বোনা, জাল বোনা, ছোবড়া শিল্প, মাদুর বোনা শিল্প ইত্যাদিতে নারীর উল্লেখযোগ্য ভূমিকা রয়েছে।",1,,,,,,,,,,,,,,,,,,,,,,,,
নারীর প্রতি সহিংসতা দূর করে রাষ্ট্র ও সমাজকে নারীর নিরাপত্তা নিশ্চিত করতে হবে।,1,,,,,,,,,,,,,,,,,,,,,,,,
কথা বললেই কথা বাড়ে একজন কিছু বললে আরেকজন চুপ থাকলে জামেলা হয়না।,0,,,,,,,,,,,,,,,,,,,,,,,,
মায়ের সঙ্গে কারো তুলনা চলে না।,1,,,,,,,,,,,,,,,,,,,,,,,,
আইনের আশ্রয় নিবেন তাছাড়া কোনো ভুল ডিসিশন নিয়েন না।,0,,,,,,,,,,,,,,,,,,,,,,,,
নারী উদ্যোক্তাদের ব্যবসা শুরুতে দক্ষতা বাড়ানোর জন্য উচ্চতর প্রশিক্ষণ ও এর জন্য বরাদ্দ বাড়াতে হবে।,1,,,,,,,,,,,,,,,,,,,,,,,,
কিন্তু একইসাথে তার নভোচারীদের অপেশাদারিত্বের কারণেও।,0,,,,,,,,,,,,,,,,,,,,,,,,
নারীদের প্রতি সহিংসতার সবচেয়ে কুৎসিত এবং ভয়ংকরতম মাধ্যম ধর্ষণ।,1,,,,,,,,,,,,,,,,,,,,,,,,
ভলিবলে নারীদের  একজন সম্প্রতি বার্লিনে অনুষ্ঠিত ওয়ার্ল্ডস গেমে অংশ নিয়ে দলগতভাবে স্বর্ণপদক জিতেছেন। ,1,,,,,,,,,,,,,,,,,,,,,,,,
সম্ভব হইলে দ্রুত বিয়ে করেন। বিয়ে করলে দেখবেন যেসব চাচ্ছেন তা পাচ্ছেন।,0,,,,,,,,,,,,,,,,,,,,,,,,
রাস্তায় দেখানোর জন্য বের হইসো তো মানুষ দেখবে না ।,2,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়েরা এগিয়ে যাচ্ছে তার মানে এই না স্মাটনেসের দোহাই দিয়ে হাতা কাটা, ১ হাত ড্রেস পরে পাবলিক প্লেসে ঘুরে বেড়াবে।",2,,,,,,,,,,,,,,,,,,,,,,,,
বাঙালি পরিবারের ছেলেমেয়েদের টিউশন দিতেন।,0,,,,,,,,,,,,,,,,,,,,,,,,
"আজকাল ফ্যামিলি শুধু ক্যারিয়ার খুঁজে, মানুষ টা কেমন তা দেখার প্রয়োজন নেই। ",0,,,,,,,,,,,,,,,,,,,,,,,,
বন্ধুর সাথে বেড়াতে গিয়ে গণধর্ষণের শিকার গৃহবধূ।শেয়ালের পালে মুরগী।আলগা পিরিতের ফল এমনই হয়।,2,,,,,,,,,,,,,,,,,,,,,,,,
তাদের সকল অস্ত্রশস্ত্রের আমদানি আসছিল ইরানের কাছ থেকে।,0,,,,,,,,,,,,,,,,,,,,,,,,
নারীর মধ্যে অসীম ভুবনাধিকার এবং স্বাধীনতার মন্ত্রণা রয়েছে,1,,,,,,,,,,,,,,,,,,,,,,,,
তবে যাদের দক্ষতা রয়েছে কিন্তু সার্টিফিকেট নেই তারা পরীক্ষা দিয়ে সার্টিফিকেট নিতে পারবেন।,0,,,,,,,,,,,,,,,,,,,,,,,,
মানবিক সভ্যতা ও মানবিক মূল্যবোধের উৎসমূলে নারীর অবস্থান সুদৃঢ়।,1,,,,,,,,,,,,,,,,,,,,,,,,
"পৃথিবীর সব মানুষ ঠকায়, কিন্তু আমাদের রব কখনো ঠকান না।।",0,,,,,,,,,,,,,,,,,,,,,,,,
"যে বউ হইবে, সে হাতখানেক ঘোমটা দিয়া ঘরের মধ্যে কাজ করিবে, আর কারও সঙ্গে কথা কহিবে না, তাহা হইলেই বড় ভালো বউ হইল। ",2,,,,,,,,,,,,,,,,,,,,,,,,
"বোকা মেয়ে,একদিন ঠিক হয়ে যাবে সব,মেনে নেন,,ধৈর্য কষ্ট সব সহ্য করতে হবে।",1,,,,,,,,,,,,,,,,,,,,,,,,
"পুরুষদের যেমন স্ত্রীদের উপর অধিকার রয়েছে, তেমনিভাবে স্ত্রীদেরও পুরুষদের উপর ন্যায় সঙ্গত অধিকার রয়েছে",1,,,,,,,,,,,,,,,,,,,,,,,,
"আমাদের সমাজে যদি কোনো দম্পতির ছেলেমেয়ে না হয়, তাহলে সব দোষ গিয়ে পড়ে নারীর ঘাড়ে।",1,,,,,,,,,,,,,,,,,,,,,,,,
প্রাচীনকালে নারী শিক্ষার প্রতি গুরুত্ব আরোপ না করা হলেও আধুনিক প্রযুক্তি নির্ভর ও প্রগতিশীল সমাজে নারী শিক্ষার আবশ্যিকতাকে স্বীকার করা হয়েছে,1,,,,,,,,,,,,,,,,,,,,,,,,
"আপার সব খাইয়া শেষ কইরা লাইছে
",2,,,,,,,,,,,,,,,,,,,,,,,,
"সফটওয়্যার ডেভলপমেন্ট, ওয়েব অ্যাপলিকেশনে মনে করে ছেলেদের কাজ। একটা মাইন্ড সেট হয়ে গেছে, মনে করে এটা ওরাই ভালো পারবে। ফলে বড় সংখ্যার মেয়েরা এই জায়গায় আসতে পারে না",1,,,,,,,,,,,,,,,,,,,,,,,,
নারী পুরুষ যতো ভালো হোক  না কেন তারা যখন একসাথে হয় তখন তাদের চিন্তা  একটু নিম্ন পর্যায়ে যাবেই.।,2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েটি খুবই প্রানবন্ত,1,,,,,,,,,,,,,,,,,,,,,,,,
তবে করোনাভাইরাসের মতো একটি গুরুতর সংকটের ব্যাপারে 'সংবেদশনশীলতা‌' না দেখানোর কারণে অনেকে সমালোচনার মুখেও পড়েছেন।,0,,,,,,,,,,,,,,,,,,,,,,,,
মেয়ে চাইলেই তার বিয়ের সিদ্ধান্ত বিলম্বিত করতে পারবে,1,,,,,,,,,,,,,,,,,,,,,,,,
মুক্তিযুদ্ধ শুরু হওয়ার পরে নারীরা কেউ কেউ ফিল্ড হাসপাতালে নার্সের ভূমিকা পালন করেছেন।,1,,,,,,,,,,,,,,,,,,,,,,,,
তবে তিনি কখনো মাতাল হয়ে স্টেজে পারফর্ম করেননি।,0,,,,,,,,,,,,,,,,,,,,,,,,
আপু বোধহয় ফাক বয়দের সাথে কথা বলে অভ্যস্ত।,2,,,,,,,,,,,,,,,,,,,,,,,,
সতীত্ব ধারণা কেবল নারীদের বেলায় প্রযোজ্য,2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়ে মানুষের পেট পাতলা।,2,,,,,,,,,,,,,,,,,,,,,,,,
গত মৌসুমের শুরুতে জিদান এবং রোনালদোর বিদায়ে আবারও শিরোপাহীন একটি বছর পার করে রিয়াল।,0,,,,,,,,,,,,,,,,,,,,,,,,
অজ্ঞতা এবং দারিদ্র্যতার কারণে স্বাস্থ্যসম্মত স্যানিটারি প্যাডের বদলে এখনো অনেকে পুরোনো কাপড় ব্যবহার করে। ,1,,,,,,,,,,,,,,,,,,,,,,,,
"গণমাধ্যমের বিভিন্ন শাখায় নারীর প্রগতিশীল ভূমিকাকে উপেক্ষা করে তথাকথিত নারীসুলভ আচরণ ও গৃহিণী রূপকে তুলে ধরা হয়, যেখানে নারীকে দেখা যায় গৃহকর্মী, মা, কর্মহীন, পুরুষনির্ভর সত্তা, সৌন্দর্য সামগ্রী, প্রসাধনপ্রিয়, কলহপ্রিয়, গৃহিণী বা স্ত্রী, অনুপ্রেরণাদাত্রী, লজ্জাবতী এবং সংসারসেবী হিসেবে।",1,,,,,,,,,,,,,,,,,,,,,,,,
আমার বিয়ের প্রয়োজন তোমরা না করালে আমি খারাপ কাজ করলে এর জন্য তোমরা গুনাহগার হবে।,0,,,,,,,,,,,,,,,,,,,,,,,,
আপার কাপড় কিনার টাকা নাই,2,,,,,,,,,,,,,,,,,,,,,,,,
"চারিত্রিক সমস্যা রয়েছে আপনার,লুচ্চামি ছেড়ে দিয়ে আপনি মানুষিকতা পরিবর্তন করুন, আর তাকেই ভালোবেসে আগলে রাখুন!",0,,,,,,,,,,,,,,,,,,,,,,,,
ক্যারিয়ার গড়া জীবনের প্রাইমারি লক্ষ্য হলে সেটাই করুক...অযথা বিয়ে বসার দরকার কি....ছেলেরা ক্যারিয়ার করেই সংসার করার জন্য....উনারা ক্যারিয়ার কিসের জন্য করে?,2,,,,,,,,,,,,,,,,,,,,,,,,
কল টেকার হিসেবে এরই মধ্যে নিজেদের প্রতিভার পরিচয় দিয়ে আলোচনায় উঠে এসেছেন এখানে নারী পুলিশ সদস্যরা।,1,,,,,,,,,,,,,,,,,,,,,,,,
আপনি হয়তো আমার সম্বন্ধে জানেন না।,0,,,,,,,,,,,,,,,,,,,,,,,,
"দারুণ যারা ঘর সংসারে আগুন জ্বালায়,তারাই এবার বাহিরের আগুন নিভাবে",2,,,,,,,,,,,,,,,,,,,,,,,,
একজন নারী হলো সংসারের ধারক এবং বাহক,1,,,,,,,,,,,,,,,,,,,,,,,,
অন্তরের সৌন্দর্যে মহিমান্বিত ভবিষ্যৎ নাগরিক গড়ার প্রাথমিক দায়িত্ব নিতে হবে নারীকেই,1,,,,,,,,,,,,,,,,,,,,,,,,
চট্টগ্রামের মেয়েরা ভালো হয়।,1,,,,,,,,,,,,,,,,,,,,,,,,
নারীর সফলতা বলতে কিছু থাকলেও তা মূল্যহীন,2,,,,,,,,,,,,,,,,,,,,,,,,
"নারীর ব্যাংক ঋণ, বন্ধক ও অন্যান্য আর্থিক ঋণ গ্রহণের অধিকার;",1,,,,,,,,,,,,,,,,,,,,,,,,
"বডিটা ছাড়া আরতো পূঁজি নাই, সব প্রেক্ষাপটে প্রদর্শন লাগেনারে পাগলি।",2,,,,,,,,,,,,,,,,,,,,,,,,
"বোন,বেস্টের আশায় স্বামী আর কতো পাল্টাবা?",2,,,,,,,,,,,,,,,,,,,,,,,,
লোভী প্রকৃতির মেয়েদের অনেক বন্ধু থাকে। ,2,,,,,,,,,,,,,,,,,,,,,,,,
বেসরকারি হাসপাতালগুলোর একটি সংগঠন এই টিকা নিতে সরকারের সাথে আলোচনা করছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
 মা আমার জীবনজুড়ে।,1,,,,,,,,,,,,,,,,,,,,,,,,
"কিছুদিন কষ্ট হবে, পরে ঠিক হয়ে যাবে",0,,,,,,,,,,,,,,,,,,,,,,,,
রাতের নিঃশব্দ পরিবেশ পেঁচার সাথে সঙ্গতিপূর্ণ।,0,,,,,,,,,,,,,,,,,,,,,,,,
আপনিও আপনার স্ত্রীকে নিয়ে গর্ববোধ করুন।,1,,,,,,,,,,,,,,,,,,,,,,,,
 বেশির ভাগই সেই প্রিয় নারীদের মনের খবর রাখার চেষ্টা করেন না।,1,,,,,,,,,,,,,,,,,,,,,,,,
কর্মক্ষেত্রে যৌন হয়রানি নারীদের কাছে নতুন কিছু নয়,1,,,,,,,,,,,,,,,,,,,,,,,,
"বাড়েনি নারীদের জন্য বরাদ্দকৃত আসন সংখ্যাও, একটি বাসে নারীদের সর্বোচ্চ বরাদ্দকৃত আসন সংখ্যা থাকে ১২টি",1,,,,,,,,,,,,,,,,,,,,,,,,
বিকৃত পোশাক পরা মেয়েদের দেখে মাথা নষ্ট হয়ে যায় তখন কিছু অধৈর্যবান শয়তানেরা হায়নার মত শিশুদের উপর আক্রমণ করে। এখানেও মূলত বিকৃত পোশাক দায়ী।,2,,,,,,,,,,,,,,,,,,,,,,,,
আমাদের দেশে নারী নির্যাতন নতুন কোনো খবর নয়,1,,,,,,,,,,,,,,,,,,,,,,,,
"আজকে ঠিক আছে আপা, তুমিও জনগণকে দেখার সুযোগ করে দিসো, সবাই দেখাচ্ছে তুমি কেন বাকি থাকবা",2,,,,,,,,,,,,,,,,,,,,,,,,
অর্থনীতিতে নারীর সম্পৃক্ততা বৃদ্ধি করে দেশের উন্নয়নে নারীর অবদান বাড়ানোর জন্য প্রয়োজন সমাজের বিভিন্ন ক্ষেত্রে নারীবান্ধব নীতিনির্ধারণ ও প্রয়োগ এবং দেশের অর্থনৈতিক উন্নয়নে নারীর সক্রিয় অংশগ্রহণের পথে বাধাগুলো দূর করার চেষ্টা করা জরুরি।,1,,,,,,,,,,,,,,,,,,,,,,,,
অন্য মেয়েদের ব্যাপারে অনেক মেয়েই নিজের প্রেমিক বা স্বামীকে বানিয়ে বানিয়ে মিথ্যে কথা বলে থাকেন,2,,,,,,,,,,,,,,,,,,,,,,,,
আসলেই কথাগুলো বাস্তব সম্মত চিন্তার বিষয়,0,,,,,,,,,,,,,,,,,,,,,,,,
যার যার মানসিকতার উপ্রে নির্ভর করে,0,,,,,,,,,,,,,,,,,,,,,,,,
আমার প্রতিটি ব্যর্থতার পেছনেই একজন করে নারী ছিলেন,2,,,,,,,,,,,,,,,,,,,,,,,,
সার্জন হিসেবে মেয়ের প্রশংসা দিকে দিকে।,1,,,,,,,,,,,,,,,,,,,,,,,,
"আপনার আম্মুর দোষ থাকলেও আপনি এটা নিয়ে নিজে নিজের আম্মুর বিচার করতে পারবেন না। কিছু মানুষ আছে বুঝে না,আপনার আম্মুও বুঝবেনা।",1,,,,,,,,,,,,,,,,,,,,,,,,
" মা পরম যত্ন ও ভালোবাসায় সিক্ত করে, সন্তানকে মানুষের মতো মানুষ করার সংগ্রামে ঝাঁপিয়ে পড়েন।",1,,,,,,,,,,,,,,,,,,,,,,,,
"আপনারা মেয়েরাই জানেন ছেলেদের কাবু করে ফেলার একটা বিশেষ নিঞ্জা টেকনিক।  ঐটা কাজে লাগান , ঠিক হয়ে যাবে।",1,,,,,,,,,,,,,,,,,,,,,,,,
আফা গেছেন ও উচা যায়গায় আফনের ও সব উচা লাগে,2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়ে জারজ সন্তানের জন্ম দিয়ে আবার লোক সমাজে নির্ল'জ্জের মতো পরামর্শ চায় কেম্নে?,2,,,,,,,,,,,,,,,,,,,,,,,,
১৯৩৯ সালের যুদ্ধে তার ভূমিকা আবারও গূরুত্বপূর্ণ হয়ে দেখা দেয়।,0,,,,,,,,,,,,,,,,,,,,,,,,
পুরুষতান্ত্রিক সমাজে অধিকাংশ ক্ষেত্রে নারীর বুদ্ধিমত্তা ও যোগ্যতাকে প্রাধান্য দেওয়া হয় না।,1,,,,,,,,,,,,,,,,,,,,,,,,
তা তো বলেই। সবাই করে না বা পারে না। পারলে দুনিয়ায় অভিযোগ থাকতো না কোনো। আর ফর্মূলা নারী-পুরুষ সবাই গণহারে ব্যবহার করতো,0,,,,,,,,,,,,,,,,,,,,,,,,
এরা হলো টু টাইমিং গ্যাঞ্জ্যাইম্যা। নিজেও ভালো থাকে না অন্যকেও ভালো থাকতে দেয় না।আর এদের মতো কিছু মানুষের জন্য একটা জাতির বদনাম হয়।,0,,,,,,,,,,,,,,,,,,,,,,,,
এই অবস্থায় বিয়ে করবেন না প্লীজ।সময় নিন।নিজেকে সময় দিন।,0,,,,,,,,,,,,,,,,,,,,,,,,
"আপনি যদি কোনো অতীত ওয়ালী মেয়েকে বিয়ে করেন এবং পূর্বের অবৈধ প্রেমিকের থেকে সব কিছুতে একটু কম ভালোবাসা দেন, তাহলে ঐ মেয়ে তৃষ্ণার্ত থেকে যাবে। এক সময় সংসারে আগুন জ্বালিয়ে বিচ্ছেদও হয়ে যায়।",2,,,,,,,,,,,,,,,,,,,,,,,,
এই পনেরটি একাউন্টের ব্যাপারে আমি কৌতুহলী।,0,,,,,,,,,,,,,,,,,,,,,,,,
১৯০৬ সালের একটি দিনে তিনি রাশিয়ার আইনসভা বিলুপ্ত করেন।,0,,,,,,,,,,,,,,,,,,,,,,,,
সূক্ষ্ম প্রাণের আভাসও তাঁর চোখ এড়ায়নি।,0,,,,,,,,,,,,,,,,,,,,,,,,
যদি সম্ভব হয় বোন যোগাযোগ অফ করে দিন তাকে বোঝান যে তাকে ছাড়াও আপনার চলবে।,1,,,,,,,,,,,,,,,,,,,,,,,,
টাইম ট্রাভেল' করতে পারলে মন্দ হতো না!,0,,,,,,,,,,,,,,,,,,,,,,,,
ভার্সিটির হিজাব বোরকা পড়া গুলো নর্মাল মেয়েগুলোর থেকে বেশি খারাপ,2,,,,,,,,,,,,,,,,,,,,,,,,
বেডির দুধের সাইজটাও খুব একটা ভালো না। তাহলে দেখব টা কি?,2,,,,,,,,,,,,,,,,,,,,,,,,
ইন্ডাস্ট্রি তে তুমার মতো একজন শিল্পী পেয়ে আমরা খুবি আনন্দিত ছিলাম কিন্তু ভাবিবি কখনো তুমি এরকম অশালীন ছবি তুমার ভক্তদেরকে উপহার দিবে এটা তুমার থেকে আশা করিনি দিদিভাই,2,,,,,,,,,,,,,,,,,,,,,,,,
আরে ভাই ধর্ষণ তো অপরাধ বটেই কিন্তু এই অপরাধ ঘটার মূল কারণ হচ্ছে বন্ধুদের সাথে ঘুরতে যাওয়া।,2,,,,,,,,,,,,,,,,,,,,,,,,
নারীবাদ স্বামীকে প্রতিদ্বন্দ্বী হিসেবে উপস্থাপন করে।,2,,,,,,,,,,,,,,,,,,,,,,,,
"মানবকল্যাণের কথা মাথায় রেখে যুগ যুগ ধরে ইচ্ছা, প্রচেষ্টা, অধ্যাবসায় ও একাগ্র সাধনায় নিজেকে মগ্ন রেখেই গবেষকরা কাজ চালিয়ে যান।",0,,,,,,,,,,,,,,,,,,,,,,,,
এরপর এটি পুনরাবৃত্তি করে গেছেন বারবার।,0,,,,,,,,,,,,,,,,,,,,,,,,
আমার বোউয়ের কপালটা মনে হয় এমন হবে,1,,,,,,,,,,,,,,,,,,,,,,,,
সাস্টে খানকি মাগির অভাব আছে নাকি?,2,,,,,,,,,,,,,,,,,,,,,,,,
"শিশুকালে ও পরিণত বয়সে শারীরিক যৌন সহিংতার শিকার হওয়া নারীর এক তৃতীয়াংশ, অর্থ্যাৎ ৭৮ শতাংশের বেশি আজীবন প্রাণঘাতি ট্রমা থেকে বার হতে পারেন না।",1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েমানুষের মুখ এত খারাপ হয় নাকি,2,,,,,,,,,,,,,,,,,,,,,,,,
নিজে স্বল্প শিক্ষিত হয়েও মা আমাকে নিয়ে অনেক বড় স্বপ্ন দেখতেন। ,1,,,,,,,,,,,,,,,,,,,,,,,,
সুখে থাকলে ভূতে কিলায়,0,,,,,,,,,,,,,,,,,,,,,,,,
"পরকীয়া করে পরামর্শ চাইতে আসছেন,দিনকাল খারাপ হয়ে আসছে",0,,,,,,,,,,,,,,,,,,,,,,,,
ডাক্তারের বউরা সারা জীবন এরকমই থাকে,2,,,,,,,,,,,,,,,,,,,,,,,,
শিক্ষা ব্যবস্থায় নৈতিক শিক্ষার প্রবর্তন ও বাস্তবায়ন নিশ্চিত করতে হবে,0,,,,,,,,,,,,,,,,,,,,,,,,
"অবশ্য, বিয়ে না করলেও বেশ কিছু শিশুকে তিনি দত্তক নিয়েছিলেন।",0,,,,,,,,,,,,,,,,,,,,,,,,
"আপনারা অশ্রীলতা ছড়াবেন আর বলবেন আমাদের নিয়ে সাইবার বুলিং করছে....সমাজে আপনারা সেলিব্রেটি হয়ে সাধারণ মানুষ কে কি ম্যাসেজ দিচ্ছেন?
এইসব ছবিতে রিয়াক্ট দিতে ও রুচিতে বাধে কারন আমাদের ফ্রেন্ড লিষ্টে ফ্যামিলি, রিলেটিভ রা আছেন। ভালো কিছু করেন মানুষ ভালো বলবে....শিক্ষা টা শাবনূর, মৌসুমি,পূর্নিমা, বিপাশা হায়াত,শমী কায়সার,তারিন এদের থেকে নিতে পারেন তাদের মত বড় সেলিব্রেটি কি আপনারা কই তারা তো এইসব অশ্রীলতা ছড়ায় নি সামাজিক ছবি,নাটক, অনলাইনে নিজেদের হাইড করে চলতো।এভাবে খোলামেলা পোশাক পড়ে নিজেদের শরীর দেখাইতে না।",2,,,,,,,,,,,,,,,,,,,,,,,,
যার চরিত্রে সমস্যা তার সাথে সংসার করতে চাওয়া এটাও বোকামি,0,,,,,,,,,,,,,,,,,,,,,,,,
"হিন্দু নারী, পরের বাড়ি, এই গুলোর ওপর শান্তিকামি দের ভীষণ লোভ",2,,,,,,,,,,,,,,,,,,,,,,,,
